Date (GMT),Job Link,Origin URL,Room Details List Limit,Position,Room Name,Room Size,Room Type,Number of People,Room Cost,Number of People Range,City,Place,Phone Number (from Phone Number),Google Details,Captured Texts,Hotel Name,PDF,create pdf link,Google Link (from Google Link),Room Details List,Hotel Name (from Room Details List)
2023-06-16 11:38:55,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/dd317f93-9a97-44d5-b822-4a83b387534f,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/impacthubstockholm?attendees=1&searchtype=1,10,5,Collaboration Conference Room,6M x 6M x 3M (WxLxH),Meeting Room,12,kr8000/day,11 - 20,Stockholm,2023-06-16 11:38:55,Sample Number +46 77 777 0077,https://www.google.com/maps/search/?api=1&query=Impact%20Hub%20Stockholm,2023-06-16 11:38:55,Impact Hub Stockholm,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recu251KF0K8WIY2n,https://www.google.com/maps/search/?api=1&query=Impact%20Hub%20Stockholm,,
2023-06-16 11:38:55,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/dd317f93-9a97-44d5-b822-4a83b387534f,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/impacthubstockholm?attendees=1&searchtype=1,10,6,Purpose Event Space,10M x 10M x 25M (WxLxH),Meeting Room,15,kr37500/day,11 - 20,Stockholm,2023-06-16 11:38:55,Sample Number +46 77 777 0077,https://www.google.com/maps/search/?api=1&query=Impact%20Hub%20Stockholm,2023-06-16 11:38:55,Impact Hub Stockholm,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recvMfnvA7gPXGhUF,https://www.google.com/maps/search/?api=1&query=Impact%20Hub%20Stockholm,,
2023-06-16 11:38:55,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/dd317f93-9a97-44d5-b822-4a83b387534f,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/impacthubstockholm?attendees=1&searchtype=1,10,4,Discovery Conference Room,3M x 6M x 3M (WxLxH),Meeting Room,9,kr5000/day,1 - 10,Stockholm,2023-06-16 11:38:55,Sample Number +46 77 777 0077,https://www.google.com/maps/search/?api=1&query=Impact%20Hub%20Stockholm,2023-06-16 11:38:55,Impact Hub Stockholm,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recBn4CorIM8MpiQ0,https://www.google.com/maps/search/?api=1&query=Impact%20Hub%20Stockholm,,
2023-06-16 11:38:55,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/dd317f93-9a97-44d5-b822-4a83b387534f,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/impacthubstockholm?attendees=1&searchtype=1,10,1,Trust Conference Room,2M x 3M x 3M (WxLxH),Meeting Room,4,kr2500/day,1 - 10,Stockholm,2023-06-16 11:38:55,Sample Number +46 77 777 0077,https://www.google.com/maps/search/?api=1&query=Impact%20Hub%20Stockholm,2023-06-16 11:38:55,Impact Hub Stockholm,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recDJzGI8B00o35bh,https://www.google.com/maps/search/?api=1&query=Impact%20Hub%20Stockholm,,
2023-06-16 11:38:55,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/dd317f93-9a97-44d5-b822-4a83b387534f,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/impacthubstockholm?attendees=1&searchtype=1,10,2,Courage Conference Room,3M x 3M x 3M (WxLxH),Meeting Room,6,kr4000/day,1 - 10,Stockholm,2023-06-16 11:38:55,Sample Number +46 77 777 0077,https://www.google.com/maps/search/?api=1&query=Impact%20Hub%20Stockholm,2023-06-16 11:38:55,Impact Hub Stockholm,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=rec8Hkf9nS6rQqGMB,https://www.google.com/maps/search/?api=1&query=Impact%20Hub%20Stockholm,,
2023-06-16 11:38:55,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/dd317f93-9a97-44d5-b822-4a83b387534f,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/impacthubstockholm?attendees=1&searchtype=1,10,3,Enterprise Conference Room,3M x 6M x 3M (WxLxH),Meeting Room,9,kr5000/day,1 - 10,Stockholm,2023-06-16 11:38:55,Sample Number +46 77 777 0077,https://www.google.com/maps/search/?api=1&query=Impact%20Hub%20Stockholm,2023-06-16 11:38:55,Impact Hub Stockholm,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=reckWPdSTVNhDk5Y8,https://www.google.com/maps/search/?api=1&query=Impact%20Hub%20Stockholm,,
2023-06-16 11:42:28,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/6fdb6551-e6ec-4837-8f2e-ff6622a6099a,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/mornington-stockholm-city?attendees=1&searchtype=1,10,4,Beatrice,,Meeting Room,6,,1 - 10,Stockholm,2023-06-16 11:42:28,Sample Number +46 77 777 0009,https://www.google.com/maps/search/?api=1&query=MORNINGTON%20STOCKHOLM%20CITY,2023-06-16 11:42:28,MORNINGTON STOCKHOLM CITY,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recvuqemkapXbyEiI,https://www.google.com/maps/search/?api=1&query=MORNINGTON%20STOCKHOLM%20CITY,,
2023-06-16 11:42:28,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/6fdb6551-e6ec-4837-8f2e-ff6622a6099a,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/mornington-stockholm-city?attendees=1&searchtype=1,10,5,Jessica,,Meeting Room,6,,1 - 10,Stockholm,2023-06-16 11:42:28,Sample Number +46 77 777 0009,https://www.google.com/maps/search/?api=1&query=MORNINGTON%20STOCKHOLM%20CITY,2023-06-16 11:42:28,MORNINGTON STOCKHOLM CITY,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recaSEriXEVAQFXW9,https://www.google.com/maps/search/?api=1&query=MORNINGTON%20STOCKHOLM%20CITY,,
2023-06-16 11:42:28,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/6fdb6551-e6ec-4837-8f2e-ff6622a6099a,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/mornington-stockholm-city?attendees=1&searchtype=1,10,1,Ophelia,,Meeting Room,54,,more than 50,Stockholm,2023-06-16 11:42:28,Sample Number +46 77 777 0009,https://www.google.com/maps/search/?api=1&query=MORNINGTON%20STOCKHOLM%20CITY,2023-06-16 11:42:28,MORNINGTON STOCKHOLM CITY,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recjchuga27L2e55c,https://www.google.com/maps/search/?api=1&query=MORNINGTON%20STOCKHOLM%20CITY,,
2023-06-16 11:42:28,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/6fdb6551-e6ec-4837-8f2e-ff6622a6099a,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/mornington-stockholm-city?attendees=1&searchtype=1,10,6,,,,,,1 - 10,Stockholm,2023-06-16 11:42:28,Sample Number +46 77 777 0009,https://www.google.com/maps/search/?api=1&query=MORNINGTON%20STOCKHOLM%20CITY,2023-06-16 11:42:28,MORNINGTON STOCKHOLM CITY,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=reckemIVadr5PS00k,https://www.google.com/maps/search/?api=1&query=MORNINGTON%20STOCKHOLM%20CITY,,
2023-06-16 11:42:28,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/6fdb6551-e6ec-4837-8f2e-ff6622a6099a,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/mornington-stockholm-city?attendees=1&searchtype=1,10,2,Juliet,,Meeting Room,18,,11 - 20,Stockholm,2023-06-16 11:42:28,Sample Number +46 77 777 0009,https://www.google.com/maps/search/?api=1&query=MORNINGTON%20STOCKHOLM%20CITY,2023-06-16 11:42:28,MORNINGTON STOCKHOLM CITY,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=reclztBs3AQyZVv6n,https://www.google.com/maps/search/?api=1&query=MORNINGTON%20STOCKHOLM%20CITY,,
2023-06-16 11:42:28,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/6fdb6551-e6ec-4837-8f2e-ff6622a6099a,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/mornington-stockholm-city?attendees=1&searchtype=1,10,3,Puck,,Meeting Room,6,,1 - 10,Stockholm,2023-06-16 11:42:28,Sample Number +46 77 777 0009,https://www.google.com/maps/search/?api=1&query=MORNINGTON%20STOCKHOLM%20CITY,2023-06-16 11:42:28,MORNINGTON STOCKHOLM CITY,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recsc4GvT1bvnFNP0,https://www.google.com/maps/search/?api=1&query=MORNINGTON%20STOCKHOLM%20CITY,,
2023-06-16 11:40:22,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/c205e14b-4570-492f-a3e5-2198503f62df,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/radisson-blu-strand-hotel?attendees=1&searchtype=1,10,2,Studio I,45M x 54M x 6M (WxLxH),Meeting Room,10,,1 - 10,Stockholm,2023-06-16 11:40:22,Sample Number +46 77 777 0004,https://www.google.com/maps/search/?api=1&query=Radisson%20Collection%20Strand%20Hotel,2023-06-16 11:40:22,Radisson Collection Strand Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=rec1c5WG5EY1C26is,https://www.google.com/maps/search/?api=1&query=Radisson%20Collection%20Strand%20Hotel,,
2023-06-16 11:40:22,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/c205e14b-4570-492f-a3e5-2198503f62df,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/radisson-blu-strand-hotel?attendees=1&searchtype=1,10,4,Studio III,44M x 45M x 26M (WxLxH),Meeting Room,8,,1 - 10,Stockholm,2023-06-16 11:40:22,Sample Number +46 77 777 0004,https://www.google.com/maps/search/?api=1&query=Radisson%20Collection%20Strand%20Hotel,2023-06-16 11:40:22,Radisson Collection Strand Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recwK7Iahi4it4eh8,https://www.google.com/maps/search/?api=1&query=Radisson%20Collection%20Strand%20Hotel,,
2023-06-16 11:40:22,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/c205e14b-4570-492f-a3e5-2198503f62df,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/radisson-blu-strand-hotel?attendees=1&searchtype=1,10,5,,,,,,1 - 10,Stockholm,2023-06-16 11:40:22,Sample Number +46 77 777 0004,https://www.google.com/maps/search/?api=1&query=Radisson%20Collection%20Strand%20Hotel,2023-06-16 11:40:22,Radisson Collection Strand Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recH11oZhkCetpz8F,https://www.google.com/maps/search/?api=1&query=Radisson%20Collection%20Strand%20Hotel,,
2023-06-16 11:40:22,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/c205e14b-4570-492f-a3e5-2198503f62df,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/radisson-blu-strand-hotel?attendees=1&searchtype=1,10,3,Studio II,44M x 45M x 26M (WxLxH),Meeting Room,8,,1 - 10,Stockholm,2023-06-16 11:40:22,Sample Number +46 77 777 0004,https://www.google.com/maps/search/?api=1&query=Radisson%20Collection%20Strand%20Hotel,2023-06-16 11:40:22,Radisson Collection Strand Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recLsaohYzD0eumjy,https://www.google.com/maps/search/?api=1&query=Radisson%20Collection%20Strand%20Hotel,,
2023-06-16 11:40:22,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/c205e14b-4570-492f-a3e5-2198503f62df,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/radisson-blu-strand-hotel?attendees=1&searchtype=1,10,1,Harbour Suite,63M x 78M x 26M (WxLxH),Meeting Room,16,,11 - 20,Stockholm,2023-06-16 11:40:22,Sample Number +46 77 777 0004,https://www.google.com/maps/search/?api=1&query=Radisson%20Collection%20Strand%20Hotel,2023-06-16 11:40:22,Radisson Collection Strand Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recn7uVUW7zSx8ppl,https://www.google.com/maps/search/?api=1&query=Radisson%20Collection%20Strand%20Hotel,,
2023-06-16 11:41:03,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/88405bdc-0e78-40be-ab36-d372db87697c,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/radisson-blu-waterfront-hotel?attendees=1&searchtype=1,10,2,BAR 4 & BAR 5,20M x 30M x 5M (WxLxH),Meeting Room,500,,more than 50,Stockholm,2023-06-16 11:41:03,Sample Number +46 77 777 0005,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Waterfront%20Hotel,2023-06-16 11:41:03,Radisson Blu Waterfront Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=rec04uBm2fMReCRhV,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Waterfront%20Hotel,,
2023-06-16 11:41:03,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/88405bdc-0e78-40be-ab36-d372db87697c,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/radisson-blu-waterfront-hotel?attendees=1&searchtype=1,10,3,CONFERENCE HALL (C1 - C2),10M x 60M x 5M (WxLxH),Meeting Room,600,,more than 50,Stockholm,2023-06-16 11:41:03,Sample Number +46 77 777 0005,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Waterfront%20Hotel,2023-06-16 11:41:03,Radisson Blu Waterfront Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recLgnobT7N0M2Hu0,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Waterfront%20Hotel,,
2023-06-16 11:41:03,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/88405bdc-0e78-40be-ab36-d372db87697c,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/radisson-blu-waterfront-hotel?attendees=1&searchtype=1,10,8,,,,,,1 - 10,Stockholm,2023-06-16 11:41:03,Sample Number +46 77 777 0005,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Waterfront%20Hotel,2023-06-16 11:41:03,Radisson Blu Waterfront Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=rec3sswkc7o5pX5Wc,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Waterfront%20Hotel,,
2023-06-16 11:41:03,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/88405bdc-0e78-40be-ab36-d372db87697c,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/radisson-blu-waterfront-hotel?attendees=1&searchtype=1,10,4,CONFERENCE ROOM (21 - 36),7M x 9M x 5M (WxLxH),Meeting Room,30,,21 - 50,Stockholm,2023-06-16 11:41:03,Sample Number +46 77 777 0005,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Waterfront%20Hotel,2023-06-16 11:41:03,Radisson Blu Waterfront Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=rec69PMwoRQJzeKdJ,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Waterfront%20Hotel,,
2023-06-16 11:41:03,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/88405bdc-0e78-40be-ab36-d372db87697c,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/radisson-blu-waterfront-hotel?attendees=1&searchtype=1,10,5,VIP CONFERENCE ROOM (37),6M x 10M x 5M (WxLxH),Meeting Room,16,,11 - 20,Stockholm,2023-06-16 11:41:03,Sample Number +46 77 777 0005,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Waterfront%20Hotel,2023-06-16 11:41:03,Radisson Blu Waterfront Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recbx1cndWniabyYp,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Waterfront%20Hotel,,
2023-06-16 11:41:03,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/88405bdc-0e78-40be-ab36-d372db87697c,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/radisson-blu-waterfront-hotel?attendees=1&searchtype=1,10,6,BRAIN BOX,6M x 9M x 5M (WxLxH),Meeting Room,16,,11 - 20,Stockholm,2023-06-16 11:41:03,Sample Number +46 77 777 0005,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Waterfront%20Hotel,2023-06-16 11:41:03,Radisson Blu Waterfront Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=reccjeRlfwGujx3Ry,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Waterfront%20Hotel,,
2023-06-16 11:41:03,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/88405bdc-0e78-40be-ab36-d372db87697c,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/radisson-blu-waterfront-hotel?attendees=1&searchtype=1,10,7,PRIVATE DINING ROOM,4M x 8M x 3M (WxLxH),Meeting Room,12,,11 - 20,Stockholm,2023-06-16 11:41:03,Sample Number +46 77 777 0005,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Waterfront%20Hotel,2023-06-16 11:41:03,Radisson Blu Waterfront Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recf8mW7YNcIbROSR,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Waterfront%20Hotel,,
2023-06-16 11:41:03,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/88405bdc-0e78-40be-ab36-d372db87697c,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/radisson-blu-waterfront-hotel?attendees=1&searchtype=1,10,1,Main Congress Hall,48M x 43M x 15M (WxLxH),Meeting Room,3000,,more than 50,Stockholm,2023-06-16 11:41:03,Sample Number +46 77 777 0005,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Waterfront%20Hotel,2023-06-16 11:41:03,Radisson Blu Waterfront Hotel,,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=reclKUrCmFfdh7Nre,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Waterfront%20Hotel,,
2023-06-16 11:40:21,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/64c8dfe3-8c7b-4457-9fed-5f7f7fdb1358,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/radissonbluroyalvikinghotelstockholm?attendees=1&searchtype=1,10,4,ARIES / LIBRA / GEMINI,5.4M x 5.8M x 2.4M (WxLxH),Meeting Room,10,,1 - 10,Stockholm,2023-06-16 11:40:21,Sample Number +46 77 777 0003,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Royal%20Viking%20Hotel%2C%20Stockholm,2023-06-16 11:40:21,"Radisson Blu Royal Viking Hotel, Stockholm",,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recTj4Zwt3yQBw3Dw,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Royal%20Viking%20Hotel%2C%20Stockholm,,
2023-06-16 11:40:21,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/64c8dfe3-8c7b-4457-9fed-5f7f7fdb1358,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/radissonbluroyalvikinghotelstockholm?attendees=1&searchtype=1,10,6,SCORPIO,6.8M x 8.6M x 2.4M (WxLxH),Meeting Room,18,,11 - 20,Stockholm,2023-06-16 11:40:21,Sample Number +46 77 777 0003,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Royal%20Viking%20Hotel%2C%20Stockholm,2023-06-16 11:40:21,"Radisson Blu Royal Viking Hotel, Stockholm",,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recWH9GgQ8XPUPHto,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Royal%20Viking%20Hotel%2C%20Stockholm,,
2023-06-16 11:40:21,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/64c8dfe3-8c7b-4457-9fed-5f7f7fdb1358,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/radissonbluroyalvikinghotelstockholm?attendees=1&searchtype=1,10,5,LEO,4.9M x 8.2M x 2.4M (WxLxH),Meeting Room,14,,11 - 20,Stockholm,2023-06-16 11:40:21,Sample Number +46 77 777 0003,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Royal%20Viking%20Hotel%2C%20Stockholm,2023-06-16 11:40:21,"Radisson Blu Royal Viking Hotel, Stockholm",,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recDYPRcIIlzv3fUM,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Royal%20Viking%20Hotel%2C%20Stockholm,,
2023-06-16 11:40:21,https://dashboard.browse.ai/teams/personal/robots/d2ac8762-a509-49d2-86f7-b0abb4530e75/history/64c8dfe3-8c7b-4457-9fed-5f7f7fdb1358,https://www.meetingsbooker.com/se/en/meeting-rooms-conference-facilities-in/radissonbluroyalvikinghotelstockholm?attendees=1&searchtype=1,10,2,PHOENIX,4.9M x 7.8M x 2.4M (WxLxH),Meeting Room,14,,11 - 20,Stockholm,2023-06-16 11:40:21,Sample Number +46 77 777 0003,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Royal%20Viking%20Hotel%2C%20Stockholm,2023-06-16 11:40:21,"Radisson Blu Royal Viking Hotel, Stockholm",,https://app.documint.me/integrations/airtable?template_id=648c61a9160067102c2bdda3&base_id=appTmsb0jGyj8wtOQ&table_id=tbl38QRRnTpDr0fh9&attachment_field_name=PDF&overwrite_attachments=true&record_id=recHSPFTL1DGWW1HZ,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Royal%20Viking%20Hotel%2C%20Stockholm,,
